,step02h_eqparamA,step02t_eqparamA,step03h_eqparamA,step03t_eqparamA,step04h_eqparamA,step04t_eqparamA,step05h_eqparamA,step05t_eqparamA,step08h_eqparamA,step10h_eqparamA,step12h_eqparamA,system_eqparamA,step01at_eqparamB,step01bt_eqparamB,step02t_eqparamB,step04t_eqparamB,step05t_eqparamB,step01h_reagparamA,step01at_reagparamA,step01bt_reagparamA,step03h_reagparamB,step03t_reagparamB,system_eqparamC,system_reageparamC,system_eqparamD,system_state,system_result
413,11.7420404,10.46147108,21.56458885,19.01152777,13.34472368,2.493862951,12.42161477,2.821377088,10.33043425,11.49329134,10.13325508,27.79624212,1.5465343999999999,1.6997745830000002,2.220450797,0.7956404979999999,0.684523385,22.25619441,2.451975729,2.451887771,350.0,350.0,6.0,6.858825283,5.76724301,81.74461396,Good
133,15.46445834,10.09090051,24.29674385,21.00566769,16.85460339,2.54042939,15.83258454,5.045939912,6.705262638,7.663632455,8.89961116,28.1013923,1.9962521009999998,1.448700855,2.615369152,0.9315081709999999,0.7956710570000001,33.814493799999994,7.403596152,6.404083702,450.0,400.0,9.0,6.736067546,5.3485472530000004,185.9458023,Warning
131,14.93817955,11.6702023,21.590453699999998,19.64406741,10.86558713,3.8586730210000004,11.543108,5.052018613,7.035534822000001,7.285069233,6.96437944,32.17440928,2.016740324,1.600064612,2.509665698,1.462664681,0.838502855,31.81334215,3.0459208060000003,3.863185585,270.8707275,145.6253305,8.428961067000001,6.949459019,5.352322257,94.00542175,Good
86,17.12100517,13.80860415,22.27534535,19.30470295,9.827674907,4.013022402,10.38448673,3.5141439639999996,6.356205133,6.260708935,7.669427708,36.3914801,1.5023564880000002,0.9945780040000001,2.188408825,0.948560063,0.627577514,31.96068337,1.6898511569999999,1.68982827,300.0,300.0,8.0,7.038283296,6.347504785,32.25330763,Warning
426,17.17787178,12.65531512,22.95729182,20.14609274,13.07896454,2.8370593060000004,12.43309013,2.715343605,10.76718205,12.22765438,12.92190213,30.020611300000002,1.5885467659999999,1.803717665,2.252915745,0.665687183,0.6709775689999999,20.45773464,0.845693316,0.8457551209999999,350.0,113.626476,6.0,7.158986639,4.671575356,55.19193009,Good
229,11.59653833,5.756917976,19.76035964,16.04105978,17.72709195,5.192370073999999,13.08125049,4.084882535,9.654758112,10.12297504,9.841755629,31.39938961,1.072332462,1.629612665,2.030718099,0.668871144,0.758321983,30.88953256,3.349837866,3.349675079,350.0,350.0,5.0,7.070789482,5.0236625230000005,77.49636822,Good
358,10.0,7.808248271,24.0,21.86107532,21.0,9.187551923,13.0,8.0,9.0,11.44308476,11.6647476,28.0,1.096677928,1.540027983,2.378932358,0.777397107,0.7137542259999999,25.0,4.900000095,4.900000095,300.0,300.0,6.0,6.978129435,4.7694129080000005,1.0,Good
51,13.33128722,8.239994549,22.49801708,18.86136943,12.25794431,1.5921647630000002,15.54740179,2.390638038,7.626299375,6.852525324,6.901013675,27.28277171,1.344594146,0.7663027490000001,1.97300253,0.914252895,0.648792698,21.86934748,1.64731599,1.647267819,331.73481539999995,284.1509363,4.8438531419999995,7.216495403,4.806655161,108.7419821,Warning
419,11.28332815,8.229604892000001,21.2983357,17.64532892,16.75543932,1.9768488080000002,16.05302892,2.653235661,11.64907129,11.82219672,10.17640357,25.84797617,1.510390598,1.8584224530000002,2.063080771,0.69656146,0.6773105140000001,20.0,0.0,0.0,350.0,350.0,6.0,7.1314961839999995,4.765612263,99.44684331,Good
97,15.73958794,13.94427808,20.07910491,18.37389301,5.244299097,3.76113507,5.425536573,2.94154684,6.430457668,6.887461916,6.752103142999999,36.62804104,1.393325949,0.9503231390000001,2.319797646,0.841041728,0.683734747,26.83202489,5.0,5.0,277.27906360000003,277.28276850000003,7.723065319,7.263280707000001,5.822724425,32.36097403,Good
369,10.80176699,9.26283722,25.00476798,20.1409229,17.17506758,4.167039997,11.51372203,4.453292661,9.088066491000001,8.565770125,8.943095655,25.57443865,0.602384924,1.324181549,2.1571105090000002,0.799075337,0.708060479,39.57912177,6.684961304,6.684926657,344.6079848,344.60913999999997,6.0,7.007835921,4.794943084,62.41266751,Good
236,13.55600534,9.884400207999999,21.06069617,19.46438072,13.05265258,2.155395608,17.92869882,7.5413978639999995,10.84393551,10.90992475,11.15158027,33.73669968,1.144669578,1.687758264,2.288788734,0.758749982,0.62371694,24.48419557,5.0,4.0,350.0,350.0,6.0,7.144021206000001,4.984413732,73.16677432,Good
90,16.0,14.0,25.0,20.0,14.0,3.0,13.0,3.0,7.0,8.0,7.0,39.0,1.5274852980000002,1.213546913,2.500644472,0.983063162,0.825849649,19.0,0.0,0.0,300.0,300.0,9.0,7.145134388,6.149752396,90.35745878,Bad
180,14.68725644,8.432264073999999,23.43354816,20.86011063,12.06299694,1.420706522,11.14762492,1.5690356419999998,10.32809167,9.600057257000001,10.51247663,31.29167875,1.297380779,1.272045927,1.948185525,0.677465133,0.755085883,25.42634072,5.862010242999999,5.495387523,350.0,350.0,6.862419687,6.941961768,5.7660294379999995,25.00069869,Bad
372,10.02758559,8.057224587,24.270968399999997,21.50726386,14.95864438,2.0,12.359400099999998,3.1891307369999997,10.71647008,11.07876354,10.64794621,24.18786357,1.465007617,1.460941681,2.165295796,0.710272415,0.7108992909999999,21.9990252,5.0,5.0,350.0,350.0,6.0,7.112181255,4.657320176,85.31770587,Good
17,13.72229948,10.49888523,20.67808537,17.46563564,14.76116179,2.8582227939999996,14.19649969,2.493598343,12.24715917,8.65434264,9.167971957999999,30.87417935,1.11205822,0.843350904,2.043603819,0.694717659,0.625253971,16.450494199999998,4.0,3.0,300.0,300.0,5.0,7.285182692,5.136531076,91.2813333,Bad
30,16.16750173,12.74007036,22.9451611,19.16772103,15.34298831,3.517571373,16.06062728,3.29158919,7.515655149,8.234809846000001,6.3608685110000005,28.1701765,1.395773345,0.857276877,2.269265294,0.628480585,0.639541447,16.68003838,4.0,4.0,400.0,400.0,9.0,6.802838499,6.527299871,109.3096472,Bad
132,18.54299771,11.33149025,24.95309624,21.15575146,14.08654176,2.715170872,14.69329153,5.055231731,7.807560852000001,7.490699556,8.515249887000001,29.91036192,1.9975915309999999,1.443160241,2.704507501,1.154972289,0.8951753579999999,32.90171039,6.9019480070000006,6.0,406.9000851,361.1831899,9.0,7.108334796,5.36714583,162.8745959,Bad
195,11.3121133,6.199478922000001,22.02091605,17.8945077,17.27370434,2.092108396,16.20451655,4.260393339,10.11134428,12.12416436,10.69282313,29.85273423,1.0990111809999998,1.1105927709999999,2.248435122,0.7313648890000001,0.677400001,25.40047578,4.5,6.0,350.0,350.0,6.0,8.712128328,4.831693428,81.99933609,Good
174,10.73492915,5.140582161,22.03813585,18.06040622,13.86926438,1.220213969,13.25191138,2.154934319,14.61531128,12.63492217,12.42233524,28.35858968,1.114027955,1.094250696,2.149178264,0.8203014790000001,0.772765852,25.12572367,7.80718326,7.232506531,350.0,350.0,6.0,6.9948510729999995,5.781977952999999,77.49155625,Bad
223,10.83973838,5.211287566,17.68753503,14.09408443,18.61032619,9.153069346,10.94434499,2.664884832,9.876812267,10.43643294,9.499218391,26.473063300000003,1.0013173709999998,1.045615971,2.269088325,0.877797033,0.839251593,25.58582918,0.0,0.0,350.0,350.0,5.15095722,7.084264997999999,4.66443928,87.68201619,Bad
159,14.61528289,9.176515995,24.96171972,20.95601906,19.57043454,4.451670856000001,14.24897737,5.385007951,8.4322129,7.495688952,7.865365539,32.606559000000004,1.3240553,1.335141579,2.488793887,0.9206436170000001,0.84357604,26.12073344,1.720505902,2.15051221,337.2524687,342.6805557,7.937724797,6.891512551,5.1443968710000005,104.3337857,Good
72,16.16258731,13.99001393,24.19199694,21.2064743,9.908682029,2.223532675,10.97378595,3.0,7.199880489,6.606747577,6.6015819979999995,34.69868867,1.6324750030000001,1.13207034,2.441046221,1.049235666,0.817434801,17.40596405,0.0,0.0,300.0,300.0,6.0,7.166259988999999,5.548066434,78.48421071,Bad
42,17.1922432,14.77527608,22.91285592,19.84817672,15.93602001,3.172671007,15.18918074,3.2762251680000003,7.152881337999999,7.677928773,7.672796315,35.37557916,1.4437641769999998,0.916350091,2.137381649,0.687530755,0.678310711,14.80674226,7.0,7.0,300.0,300.0,9.0,7.045308884,7.745596744,94.18425979,Bad
259,17.07140445,13.56609197,21.28837024,16.35848167,17.85849779,4.00555694,17.10427257,4.674698576,10.63353449,10.8233727,10.63377444,38.86054098,0.817319227,1.518185916,2.5537209990000003,0.744878756,0.8621542759999999,29.82755036,5.0,5.0,350.0,183.1100781,8.191714544,7.264255839,6.456628257999999,92.75232640000002,Good
391,8.274788658,7.8631560579999995,16.99511396,13.46570047,17.11741845,7.155543363,10.94267521,2.9034658560000004,10.94608022,11.45121617,12.1956909,28.32737339,1.5456617540000002,1.9182814330000002,2.458958166,0.75222651,0.822618118,20.0,3.78371148,3.783836518,350.0,350.0,6.0,7.041703935,4.771272197,98.28737618,Warning
71,15.2619289,12.56266657,23.86322032,20.28666158,10.94582274,2.53777969,13.761049800000002,3.194525335,7.566815041,6.1823800360000005,7.400033807000001,31.16888174,1.476125795,0.9822613040000001,2.225482997,0.962215575,0.69642384,29.34181958,3.43339999,3.433460713,300.0,300.0,6.062773934,6.848581215,5.134252625,55.64351132,Good
